Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L50960,L,302.4,311.1,1446,42.9,error
L50961,L,302.3,310.8,1465,43.8,7
L50962,L,302.2,310.8,1827,23.8,9
H33197,H,302.2,310.8,1397,47.6,11
L50964,L,302.2,310.8,,29.7,16
L50965,L,302.3,310.9,1545,36.7,18
L50966,L,302.3,310.9,1587,36.6,20
L50967,L,302.3,310.8,1377,,
L50968,L,302.3,310.8,,48.1,24
L50969,L,302.3,310.8,1650,32.4,26
L50970,L,302.3,310.9,1412,48.9,28
L50971,L,302.3,France,1528,43.1,30
L50972,L,302.3,310.9,1459,35.0,32
L50973,L,302.3,310.9,1379,,34
M18654,M,302.2,310.8,1356,48.3,36
M18655,M,302.1,310.8,1409,41.3,39
M18656,M,302.1,France,1504,37.5,42
L50977,L,,310.8,,36.8,45
L50978,L,302.1,310.8,1786,25.7,47
L50979,L,302.2,310.9,1506,34.0,49
M18660,M,302.1,310.9,1916,23.1,51
M18661,M,302.2,310.9,-310.9,27.6,54
M18662,M,302.2,310.9,,44.2,57
L50983,L,302.2,310.9,1531,37.5,60
L50984,L,302.3,310.9,1529,,
M18665,M,302.4,France,1580,36.5,64
M18666,M,302.3,310.9,1360,44.0,error
M18667,M,302.3,311.0,1546,35.5,70
M18668,M,302.3,310.9,1762,24.5,
L50989,L,302.2,310.8,1350,56.6,76
M18670,M,,310.8,1562,38.1,78
M18671,M,302.1,310.7,1608,30.3,81
L50992,L,302.0,310.6,,,84
L50993,L,302.0,310.6,1467,44.9,86
M18674,M,302.1,310.6,1326,59.1,88
L50995,L,302.2,310.7,1769,24.9,91
L50996,L,302.1,France,1459,47.6,error
M18677,M,302.1,310.6,1421,52.0,95
L50998,L,,France,1491,42.8,98
L50999,L,302.2,310.7,1567,,100
L51000,L,302.3,310.8,1421,41.4,102
L51001,L,302.3,310.9,1596,,104
M18682,M,302.4,France,1464,44.2,106
M18683,M,302.3,310.9,1581,36.1,109
L51004,L,,310.9,1620,30.3,error
H33239,H,302.2,310.7,1413,48.9,114
H33240,H,302.3,310.8,1438,43.8,119
M18687,M,302.4,310.9,1469,41.6,124
M18688,M,302.3,310.8,1762,27.8,127
H33243,H,302.3,310.9,1366,48.4,130
L51010,L,302.3,310.9,1891,22.7,135
M18691,M,302.3,310.9,1742,29.7,137
M18692,M,302.2,France,1465,43.5,
M18693,M,302.3,311.0,1541,36.6,143
M18694,M,302.3,311.1,1295,57.1,146
M18695,M,,311.1,1435,43.1,149
L51016,L,,311.2,1466,43.9,
L51017,L,302.4,311.2,1450,47.9,154
L51018,L,302.4,311.1,1880,24.5,622.2
M18699,M,,311.0,1578,33.5,158
L51020,L,302.4,France,1610,,error
L51021,L,302.4,311.1,1565,42.8,163
L51022,L,,France,1545,40.1,165
L51023,L,302.5,311.2,1227,60.1,167
L51024,L,302.4,311.1,1484,45.9,error
L51025,L,302.3,311.0,1591,32.7,171
L51026,L,302.3,France,1403,47.2,173
M18707,M,302.3,France,1450,45.7,error
L51028,L,302.3,310.9,1720,28.1,error
L51029,L,302.3,311.0,1561,37.2,180
M18710,M,302.3,311.0,1421,41.3,182
H33265,H,,France,1415,48.4,185
L51032,L,302.3,310.9,2034,19.7,190
L51033,L,302.4,311.0,1486,40.4,192
L51034,L,302.4,311.0,1338,67.6,194
H33269,H,,311.1,1578,32.3,196
M18716,M,302.4,311.2,1330,58.6,201
H33271,H,302.4,311.2,1506,40.8,204
L51038,L,302.5,311.4,1559,37.6,209
L51039,L,302.6,311.5,1599,37.0,error
L51040,L,302.6,311.5,1427,,213
M18721,M,302.5,311.5,1481,41.1,215
H33276,H,302.5,311.5,1496,43.8,
L51043,L,302.5,311.4,1674,27.0,223
M18724,M,302.5,311.4,1629,31.7,225
H33279,H,302.6,311.5,1629,34.4,228
L51046,L,302.6,311.6,1311,53.2,0
M18727,M,302.7,311.6,2709,9.7,2
M18728,M,302.7,311.7,1759,29.9,5
L51049,L,302.7,311.7,1480,45.2,8
L51050,L,302.7,311.8,1461,46.1,10
M18731,M,302.7,311.8,1728,30.0,
L51052,L,302.7,311.9,1389,46.5,15
L51053,L,302.6,311.8,-311.8,35.1,17
L51054,L,302.6,311.7,1254,,19
L51055,L,302.6,311.8,1427,50.1,21
L51056,L,302.6,311.8,1627,31.8,23
H33291,H,302.6,311.7,1471,48.3,25
L51058,L,302.6,311.7,1773,27.1,30
M18739,M,302.6,311.7,1430,51.7,
L51060,L,,311.6,1595,29.5,35
L51061,L,302.5,311.5,1521,44.1,37
L51062,L,302.5,311.6,1419,43.7,39
M18743,M,302.4,311.4,1534,40.1,41
H33298,H,302.5,311.5,1626,36.0,44
L51065,L,302.5,311.5,1677,,error
L51066,L,302.4,311.3,1392,50.5,51
L51067,L,302.4,311.2,-311.2,50.5,53
L51068,L,302.3,311.2,1903,,55
L51069,L,,311.2,1404,52.0,57
L51070,L,,311.2,1386,53.5,59
L51071,L,302.2,311.1,1418,47.0,61
M18752,M,302.3,311.1,1338,,63
L51073,L,302.3,311.2,,40.6,
M18754,M,302.3,311.2,1432,42.7,68
M18755,M,302.3,311.2,1546,40.0,71
M18756,M,302.2,311.2,,33.2,74
M18757,M,302.2,311.1,1640,27.81177880432338,77
M18758,M,302.1,311.1,1423,36.8,
M18759,M,,311.0,-311.0,,83
M18760,M,302.1,311.1,1450,51.6,86
H33315,H,302.2,311.1,1553,,error
L51082,L,302.2,311.1,1630,34.6,94
H33317,H,302.2,311.1,1476,39.6,96
H33318,H,302.2,311.1,1426,50.6,101
M18765,M,302.2,France,1561,34.9,106
L51086,L,302.3,France,1297,,109
M18767,M,302.3,311.2,1842,23.9,
L51088,L,302.3,311.2,1633,36.4,114
H33323,H,302.3,France,1744,30.3,116
L51090,L,302.4,311.4,1831,26.9,121
M18771,M,302.3,311.3,1339,50.8,123
L51092,L,302.4,311.4,1475,40.4,error
M18773,M,302.4,311.4,1675,29.6,error
L51094,L,302.5,311.5,,35.1,131
L51095,L,302.5,311.5,1700,29.5,
L51096,L,302.6,311.6,1453,37.0,135
L51097,L,302.6,311.7,1542,34.1,137
M18778,M,,311.5,1358,52.7,139
H33333,H,302.5,311.5,1655,30.472834678074904,142
L51100,L,302.6,311.5,1885,27.5,147
L51101,L,302.7,311.5,1494,41.4,
M18782,M,302.6,311.4,1757,29.5,
M18783,M,302.6,311.4,1718,31.2,error
M18784,M,302.5,France,1636,35.0,
L51105,L,302.6,France,1638,29.6,160
L51106,L,302.6,311.5,1609,36.0,162
H33341,H,302.7,311.5,1556,35.0,164
L51108,L,302.6,311.5,1442,59.8,169
M18789,M,302.7,311.6,1501,38.8,171
M18790,M,302.6,311.6,2041,19.2,174
M18791,M,302.7,311.7,1784,25.1,177
L51112,L,302.6,France,1953,22.4,180
L51113,L,302.6,311.6,1576,34.7,182
M18794,M,302.6,311.6,1518,39.0,184
M18795,M,302.6,311.6,1227,68.2,187
L51116,L,,311.5,1985,18.8,190
L51117,L,302.5,France,1802,,192
L51118,L,302.5,311.5,1603,32.4,error
L51119,L,302.5,311.6,1400,54.0,196
L51120,L,302.3,311.5,1395,54.2,198
L51121,L,302.2,311.4,1987,19.9,200
M18802,M,302.2,311.4,1398,47.2,error
L51123,L,302.3,311.4,,66.7,205
L51124,L,,311.2,1381,49.4,207
L51125,L,302.2,France,,36.1,error
M18806,M,302.2,311.3,,31.0,2
H33361,H,302.2,311.3,1749,29.2,5
M18808,M,302.2,311.3,1510,37.1,10
L51129,L,302.3,311.5,1384,50.8,13
L51130,L,302.3,311.4,1570,37.2,error
M18811,M,302.3,311.4,1571,,622.8
L51132,L,302.3,311.4,1476,37.3,20
M18813,M,302.3,311.4,1484,39.5,22
M18814,M,302.3,311.4,1909,23.2,25
L51135,L,302.3,311.5,,49.6,
M18816,M,302.3,311.4,1500,40.2,30
L51137,L,302.2,311.4,,44.9,33
L51138,L,302.2,311.3,1378,55.5,
M18819,M,302.2,311.4,1538,37.4,37
L51140,L,302.2,311.4,1390,48.1,
M18821,M,302.2,311.4,,32.1,42
L51142,L,302.4,311.5,1785,,45
H33377,H,302.3,311.5,1526,38.2,error
M18824,M,302.3,311.6,1668,33.2,52
L51145,L,302.3,311.5,1507,37.5,55
L51146,L,302.3,311.5,1530,37.8,57
M18827,M,,311.4,1479,45.6,59
M18828,M,302.3,France,1418,41.3,62
L51149,L,302.3,311.4,1504,38.7,
M18830,M,302.3,311.4,1345,47.6,
H33385,H,302.2,311.4,1625,35.4,70
L51152,L,302.3,311.4,1511,34.7,75
L51153,L,302.3,311.4,1535,41.8,77
L51154,L,302.4,311.5,1505,,79
H33389,H,302.4,311.5,1540,43.7,81
H33390,H,302.3,311.4,1372,46.0,86
M18837,M,302.2,311.3,1510,36.6,91
L51158,L,302.2,311.3,1382,46.4,94
L51159,L,302.3,311.3,1439,41.8,96
M18840,M,302.2,311.3,1375,47.0,error
M18841,M,302.2,311.3,1931,,101
L51162,L,302.2,311.3,1475,48.6,104
L51163,L,,311.3,1389,46.9,106
L51164,L,302.3,311.3,,32.8,
L51165,L,302.3,311.2,1386,50.3,110
M18846,M,302.2,311.3,1577,29.8,112
M18847,M,302.3,311.3,1444,43.1,115
L51168,L,302.2,311.3,1554,35.83421310104216,118
L51169,L,,311.3,1602,32.8,120
H33404,H,302.2,311.2,1692,28.2,122
L51171,L,302.3,311.3,1682,,127
L51172,L,,311.3,1614,34.1,129
L51173,L,302.3,311.3,1324,47.8,131
L51174,L,302.3,311.4,1434,40.3,133
L51175,L,302.3,France,,31.6,135
M18856,M,302.3,311.3,1625,33.1,137
L51177,L,302.2,311.1,1394,53.7,140
L51178,L,302.1,311.0,1586,35.1,142
L51179,L,302.0,311.0,1420,45.9,144
L51180,L,302.1,311.2,1422,50.3,146
H33415,H,302.1,France,1598,37.9,148
L51182,L,302.1,311.2,1454,59.2,153
L51183,L,302.1,France,1519,39.3,155
L51184,L,302.0,311.1,1373,55.7,157
M18865,M,302.0,311.1,1406,48.8,159
L51186,L,302.1,311.2,1492,45.0,162
L51187,L,302.1,311.2,1369,50.8,error
M18868,M,302.2,France,1471,41.9,166
L51189,L,302.2,France,1630,36.0,169
M18870,M,302.1,France,1605,,171
L51191,L,302.2,311.1,1447,52.1,error
M18872,M,302.2,311.2,1360,52.8,176
M18873,M,302.2,311.1,1728,34.0,179
